id;cep;logradouro;numero;complemento;bairro
1;nicely transport;behind sans ouch;14178;a meh;whoa without amid
2;down;authorized and youthfully;6617;in that;concerning yowza unexpectedly
3;upward vice;pro blond;1185;finally gleaming;masonry
4;early;squatter pelt;19193;hurl;semicolon espadrille
5;apud villainous;hmph as down;15205;aha single indeed;suffocation phooey circa
6;circa garden grade;freak;22003;whereas as resent;handicap vice
7;triangular moon linguistics;even;27781;urgently hive poorly;tinderbox around
8;immediately plus during;poorly that;10191;from knuckle drat;knowledgeably under
9;bah crust consequently;phew waveform habit;23138;among assault;plot colorful
10;foolishly luminous;down;20891;hence late situate;beyond
