id;data;valor_total;descricao;metodo_pagamento;status_pagamento;responsavel_pagamento
1;2024-09-04T01:25:02;14832.16;eek instead;CARTAO_DEBITO;NAO_PAGO;BARRACA
2;2024-09-03T05:45:43;25102.83;gadzooks;TRANSFERENCIA;NAO_PAGO;CHEFE
3;2024-09-03T08:36:26;20961.84;whoever now formicarium;CARTAO_CREDITO;PAGO;BARRACA
4;2024-09-04T00:55:57;27990.78;so;TRANSFERENCIA;NAO_PAGO;BARRACA
5;2024-09-03T18:04:37;21608.71;whether stumbling;TRANSFERENCIA;NAO_PAGO;FELIPE_GISELLE
6;2024-09-03T07:20:26;29193.37;colorfully boastfully dearly;PIX;NAO_PAGO;FELIPE_GISELLE
7;2024-09-03T21:25:22;21246.99;archeology reasonable;TRANSFERENCIA;PAGO;FELIPE_GISELLE
8;2024-09-03T23:45:50;30157.79;dunk deafening;DINHEIRO;PAGO;FELIPE_GISELLE
9;2024-09-03T02:46:29;19646.44;um meanwhile yawningly;CARTAO_CREDITO;NAO_PAGO;CHEFE
10;2024-09-03T07:36:40;12411.15;vivid terrible;TRANSFERENCIA;PAGO;CHEFE
