id;quantidade;criado_em;modificado_em
1;21671;2024-09-04T00:36:26;2024-09-03T21:15:28
2;15856;2024-09-03T14:27:15;2024-09-03T04:11:32
3;16447;2024-09-03T09:30:44;2024-09-04T01:22:39
4;16379;2024-09-03T05:04:49;2024-09-03T13:02:54
5;21465;2024-09-04T01:58:18;2024-09-03T17:36:48
6;20760;2024-09-03T22:06:04;2024-09-03T09:30:52
7;32447;2024-09-03T14:36:07;2024-09-03T13:54:10
8;14130;2024-09-04T01:47:59;2024-09-03T06:41:20
9;8155;2024-09-03T05:05:36;2024-09-03T19:40:26
10;18546;2024-09-03T07:03:16;2024-09-03T23:04:49
