id;data_inicial;data_final;quantidade_cocos_perdidos;quantidade_cocos_vendidos;quantidade_coco_sobrou;dividido_por;valor_total_coco;valor_total_coco_perdido;valor_por_pessoa;valor_despesas;valor_dinheiro;valor_cartao;valor_total
1;2024-09-03T13:39:50;2024-09-03T08:05:55;29746;3789;27196;9326;18753.49;25360.33;7084.92;24408.9;2504.24;14186.49;19421.04
2;2024-09-03T03:38:09;2024-09-03T12:01:25;3931;32135;22474;7686;13113.29;4390.74;17150.73;7541.56;22463.22;11797.53;10707.15
3;2024-09-03T13:57:06;2024-09-03T18:21:42;10516;22135;17986;18059;31698.14;13977.96;9337.5;12671.48;22552.79;23635.09;32073.78
4;2024-09-03T22:53:45;2024-09-03T06:48:35;16140;18589;3127;5244;19935.33;20609.56;28838.08;17052.43;29019.02;27264.3;16960.19
5;2024-09-04T01:45:01;2024-09-03T04:47:08;12257;5260;15303;972;20805.34;19869.76;5803.14;646.16;1003.86;7812.59;23592.12
6;2024-09-03T12:48:32;2024-09-03T03:35:54;10043;14955;11306;3790;26926.71;3221.09;17278.87;1649.31;11336.34;18433.24;12128.67
7;2024-09-03T16:43:17;2024-09-03T12:40:38;14995;2361;29624;12540;3781.84;32608.03;13874.96;17373.63;5800.65;12715.05;27689.76
8;2024-09-03T10:12:42;2024-09-04T01:35:07;7535;24805;25508;12527;3562.51;1204.62;22596.84;9514.11;13643.76;29197.32;5567.13
9;2024-09-04T02:15:14;2024-09-03T16:56:42;1659;20128;11576;20512;15629.52;15453.25;1887.69;20036.9;26933.5;3658.02;19832.17
10;2024-09-03T03:42:04;2024-09-03T19:50:29;32137;21267;28083;19792;25098.22;25187.11;12684.86;4264.42;21338.78;16889.13;13328.42
