id;quantidade;criado_em;modificado_em
1;3195;2024-09-04T00:14:44;2024-09-03T11:04:45
2;11457;2024-09-03T09:50:16;2024-09-03T05:41:03
3;12349;2024-09-03T18:21:39;2024-09-03T02:20:11
4;29595;2024-09-03T13:56:27;2024-09-03T06:25:53
5;12472;2024-09-03T16:38:24;2024-09-03T20:08:53
6;7390;2024-09-03T12:08:28;2024-09-04T00:07:29
7;363;2024-09-03T20:23:14;2024-09-03T05:56:06
8;6724;2024-09-04T00:29:47;2024-09-04T02:18:02
9;26222;2024-09-03T18:48:41;2024-09-03T20:26:30
10;24411;2024-09-03T11:03:32;2024-09-03T17:39:22
