id;nome;descricao;valor_base
1;scarily if;equity;liquid until boohoo
2;gastropod chairperson;adolescent among;necktie although
3;crystallise trim;alteration;spike
4;disease broadly;if or quickly;through flare
5;into difficult;hm judgementally wherever;boo whenever
6;leopard superior;differ;fooey huzzah
7;steel mellow mouse;questionably;exempt bravely
8;worth furthermore denationalize;extraneous admit;wee parboil pace
9;versus eek worth;brr ah offensively;collectivize yearly to
10;quietly;woot;pish
