id;data;valor_total;descricao;metodo_pagamento;status_pagamento;responsavel_pagamento
1;2024-09-04T00:08:41;32452.15;ha some ack;PIX;PAGO;FELIPE_GISELLE
2;2024-09-03T10:42:14;11748.8;as withdrawal;CARTAO_CREDITO;PAGO;FELIPE_GISELLE
3;2024-09-03T23:10:29;2335.02;both;CARTAO_CREDITO;NAO_PAGO;CHEFE
4;2024-09-03T15:06:15;13615.86;boohoo whoever;DINHEIRO;NAO_PAGO;BARRACA
5;2024-09-03T16:30:36;6346.51;miserably;DINHEIRO;PAGO;BARRACA
6;2024-09-03T02:52:50;27207.53;bashfully gah;TRANSFERENCIA;NAO_PAGO;FELIPE_GISELLE
7;2024-09-03T13:01:09;18238.98;turban via;PIX;PAGO;CHEFE
8;2024-09-03T21:18:58;16389.51;via;TRANSFERENCIA;PAGO;FELIPE_GISELLE
9;2024-09-03T02:42:18;6612.31;academic;CARTAO_CREDITO;NAO_PAGO;CHEFE
10;2024-09-03T20:09:31;12788.07;usefully;DINHEIRO;NAO_PAGO;BARRACA
